PoolID,PoolType,openTime,closeTime,new,dateAdded
0_1_1,NORM,1/1/2020,1/24/2020,,8/23/2026
0_1_2,NORM,1/23/2020,2/5/2020,,8/23/2026
0_1_3,NORM,1/24/2020,2/7/2020,,8/23/2026
1_0_1,NORM,2/6/2020,2/19/2020,,8/23/2026
1_0_2,NORM,2/7/2020,2/21/2020,,8/23/2026
1_0_3,NORM,2/21/2020,3/6/2020,,8/23/2026
2_0_1,NORM,2/27/2020,3/11/2020,,8/23/2026
2_0_2,NORM,3/6/2020,3/20/2020,,8/23/2026
2_0_3,NORM,3/12/2020,3/25/2020,,8/23/2026
2_0_4,NORM,3/20/2020,4/3/2020,,8/23/2026
3_0_1,NORM,3/26/2020,4/8/2020,,8/23/2026
3_0_2,NORM,4/3/2020,4/17/2020,,8/23/2026
3_1_1,NORM,9/30/2020,10/13/2020,,8/23/2026
3_1_2,NORM,10/2/2020,10/16/2020,,8/23/2026
3_1_3,NORM,10/16/2020,10/30/2020,,8/23/2026
3_2_1,NORM,10/29/2020,11/11/2020,,8/23/2026
3_2_2,NORM,10/30/2020,11/13/2020,,8/23/2026
3_3_1,NORM,11/12/2020,11/25/2020,,8/23/2026
3_3_2,NORM,11/13/2020,11/27/2020,,8/23/2026
4_0_1,NORM,4/16/2020,4/29/2020,,8/23/2026
4_0_2,NORM,4/17/2020,5/1/2020,,8/23/2026
4_0_3,NORM,4/30/2020,5/13/2020,,8/23/2026
4_0_4,NORM,5/1/2020,5/15/2020,,8/23/2026
4_0_5,NORM,5/14/2020,5/27/2020,,8/23/2026
4_0_6,NORM,5/15/2020,5/29/2020,,8/23/2026
4_1_1,NORM,11/27/2020,12/10/2020,,8/23/2026
4_1_2,NORM,11/27/2020,12/10/2020,,8/23/2026
4_1_3,NORM,11/27/2020,12/11/2020,,8/23/2026
4_2_1,NORM,12/11/2020,12/24/2020,,8/23/2026
4_2_2,NORM,12/11/2020,12/25/2020,,8/23/2026
4_2_3,NORM,12/25/2020,1/8/2021,,8/23/2026
4_3_1,LIMITED,12/31/2020,1/13/2021,,8/23/2026
4_3_2,NORM,1/8/2021,1/22/2021,,8/23/2026
5_0_1,NORM,5/28/2020,6/10/2020,,8/23/2026
5_0_2,NORM,5/29/2020,6/12/2020,,8/23/2026
5_0_3,NORM,6/12/2020,6/26/2020,,8/23/2026
5_0_4,NORM,6/13/2020,6/26/2020,,8/23/2026
5_1_1,NORM,1/21/2021,2/10/2021,,8/23/2026
5_1_2,NORM,1/22/2021,2/5/2021,,8/23/2026
5_2_1,NORM,2/5/2021,2/18/2021,,8/23/2026
5_2_2,NORM,2/5/2021,2/19/2021,,8/23/2026
5_2_3,NORM,2/19/2021,3/5/2021,,8/23/2026
5_3_1,NORM,2/26/2021,3/18/2021,,8/23/2026
