itemId,name
3141,Originium Shard
3003,Pure Gold
3301,Skill Summary - 1
3302,Skill Summary - 2
3303,Skill Summary - 3
30051,Diketon
30052,Polyketon
30053,Aketon
30054,Keton Colloid
30041,Oriron Shard
30042,Oriron
30043,Oriron Cluster
30044,Oriron Block
30021,Sugar Substitute
30022,Sugar
30023,Sugar Pack
30024,Sugar Lump
30031,Ester
30032,Polyester
30033,Polyester Pack
30034,Polyester Lump
30061,Damaged Device
30062,Device
30063,Integrated Device
30064,Optimized Device
30011,Orirock
30012,Orirock Cube
30013,Orirock Cluster
30014,Orirock Concentration
30103,RMA70-12
30104,RMA70-24
30093,Grindstone
30094,Grindstone Pentahydrate
30083,Manganese Ore
30084,Manganese Trihydrate
30073,Loxic Kohl
30074,White Horse Kohl
31013,Coagulating Gel
31014,Polymerized Gel
31023,Incandescent Alloy
31024,Incandescent Alloy Block
31033,Crystalline Component
31034,Crystalline Circuit
31043,Semi-Synthetic Solvent
31044,Refined Solvent
31053,Compound Cutting Fluid
31054,Cutting Fluid Solution
31063,Transmuted Salt
31064,Transmuted Salt Agglomerate
31073,Fuscous Fiber
31074,Solidified Fiber Board
31083,Aggregate Cyclicene
31084,Cyclicene Prefab
31093,Coagulative Nodule
31094,Chiral Refractor
30115,Polymerization Preparation
30125,Bipolar Nanoflake
30135,D32 Steel
30145,Crystalline Electronic Unit
30155,Nucleic Crystal Sinter
30165,Rephasic Enantiomer
3105,Keel
3401,Furniture Part
3131,Light Building Material
3132,Concrete Building Material
3133,Reinforced Building Material
3112,Carbon Stick
3113,Carbon Brick
3114,Carbon Pack
32001,Chip Catalyst
3213,Vanguard Dualchip
3223,Guard Dualchip
3233,Defender Dualchip
3243,Sniper Dualchip
3253,Caster Dualchip
3263,Medic Dualchip
3273,Supporter Dualchip
3283,Specialist Dualchip
3212,Vanguard Chip Pack
3222,Guard Chip Pack
3232,Defender Chip Pack
3242,Sniper Chip Pack
3252,Caster Chip Pack
3262,Medic Chip Pack
3272,Supporter Chip Pack
3282,Specialist Chip Pack
3211,Vanguard Chip
3221,Guard Chip
3231,Defender Chip
3241,Sniper Chip
3251,Caster Chip
3261,Medic Chip
3271,Supporter Chip
3281,Specialist Chip
31103,液化高能气体
31104,液化醚吸聚体
31113,电极单元
31114,聚能动力单元
