Code_Name,EN_Name,Rarity,E2_Mat_1,E2_Mat_1_Qty,E2_Mat_2,E2_Mat_2_Qty,S1M1_Mat_1,S1M1_Mat_1_Qty,S1M1_Mat_2,S1M1_Mat_2_Qty,S1M2_Mat_1,S1M2_Mat_1_Qty,S1M2_Mat_2,S1M2_Mat_2_Qty,S1M3_Mat_1,S1M3_Mat_1_Qty,S1M3_Mat_2,S1M3_Mat_2_Qty,S2M1_Mat_1,S2M1_Mat_1_Qty,S2M1_Mat_2,S2M1_Mat_2_Qty,S2M2_Mat_1,S2M2_Mat_1_Qty,S2M2_Mat_2,S2M2_Mat_2_Qty,S2M3_Mat_1,S2M3_Mat_1_Qty,S2M3_Mat_2,S2M3_Mat_2_Qty,S3M1_Mat_1,S3M1_Mat_1_Qty,S3M1_Mat_2,S3M1_Mat_2_Qty,S3M2_Mat_1,S3M2_Mat_1_Qty,S3M2_Mat_2,S3M2_Mat_2_Qty,S3M3_Mat_1,S3M3_Mat_1_Qty,S3M3_Mat_2,S3M3_Mat_2_Qty
char_141_nights,Haze,4,30013,19,30103,8,30064,1,30043,2,30084,2,30064,2,30115,2,30024,2,30074,1,30053,4,30094,2,30074,3,30125,2,30014,2,,,,,,,,,,,,
char_109_fmout,Gitano,4,30023,17,30013,14,30074,1,30053,4,30094,2,30074,3,30125,2,30014,2,30084,1,30063,3,30104,2,30084,2,30135,2,30034,2,,,,,,,,,,,,
char_253_greyy,Greyy,4,30083,15,30053,9,30034,1,30013,5,30054,2,30034,2,30135,2,30054,2,30044,1,30023,4,30064,1,30044,2,30115,2,30094,2,,,,,,,,,,,,
char_4051_akkord,Akkord,4,30083,14,31043,9,31074,1,30013,5,31014,2,30044,2,30165,2,31044,1,31094,1,30093,3,30014,2,31054,3,30115,2,31074,2,,,,,,,,,,,,
char_328_cammou,Click,4,30083,15,30043,9,30074,1,30053,4,31024,2,30104,2,30125,2,31014,2,30054,1,31013,3,30064,1,30044,2,30125,2,30014,2,,,,,,,,,,,,
char_469_indigo,Indigo,4,30043,14,30103,7,30074,1,30053,4,30064,1,30044,2,30135,2,30054,2,30084,1,31033,4,30074,2,30054,2,30145,2,30094,2,,,,,,,,,,,,
char_4004_pudd,Pudding,4,30103,11,31054,3,31034,1,30063,2,30064,2,30044,1,30135,2,30104,2,31054,1,31013,4,30074,2,30054,2,30145,2,31054,2,,,,,,,,,,,,
char_235_jesica,Jessica,4,30073,20,30043,7,30024,1,30103,3,30044,2,30024,2,30125,2,30044,2,30034,1,30013,5,30054,2,30034,2,30135,2,30054,2,,,,,,,,,,,,
char_126_shotst,Meteor,4,30043,14,30033,12,30094,1,30073,4,30014,2,30094,3,30115,2,30064,2,30104,1,30083,3,30024,2,30104,2,30125,2,30044,2,,,,,,,,,,,,
char_190_clour,Vermeil,4,30033,18,30023,12,30094,1,30073,4,30014,2,30094,3,30135,2,30014,3,30104,1,30083,3,30024,2,30104,2,30115,2,30074,2,,,,,,,,,,,,
char_133_mm,May,4,30043,14,30033,12,30084,1,30063,3,30104,2,30084,2,30135,2,30034,2,30094,1,30073,4,30014,2,30094,3,30115,2,30064,2,,,,,,,,,,,,
char_118_yuki,ShiraYuki,4,30053,15,30043,9,30104,1,30083,3,30024,2,30104,2,30125,2,30044,2,30014,1,30093,4,30034,2,30014,3,30135,2,30054,2,,,,,,,,,,,,
char_440_pinecn,Pinecone,4,31023,16,30093,8,30044,1,31023,3,30044,2,31024,2,30125,2,30064,1,30064,1,30043,2,30054,2,31014,2,30115,2,30044,2,,,,,,,,,,,,
char_302_glaze,Ambriel,4,30043,16,30103,6,30084,1,30063,3,31024,2,30104,2,30115,2,30074,2,30094,1,30073,4,31014,2,30014,3,30135,2,30044,2,,,,,,,,,,,,
char_366_acdrop,Aciddrop,4,30103,10,30063,8,30094,1,30073,4,30054,2,31014,2,30125,2,31014,2,30074,1,30053,4,31024,2,30104,2,30125,2,30014,2,,,,,,,,,,,,
char_4062_totter,Totter,4,30013,24,31013,6,30064,1,31063,2,30044,2,31024,2,30135,2,31044,2,30014,1,30023,5,30074,2,30104,2,30145,2,31054,2,,,,,,,,,,,,
char_4100_caper,Caper,4,30063,11,31083,7,30104,1,30023,4,31044,2,31034,2,30145,2,30074,2,31054,1,30093,3,30084,2,30014,3,30155,2,31034,1,,,,,,,,,,,,
